L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
518.;Powiatowy Inspektorat Nadzoru Budowlanego w  Opocznie;łódzkie;Opoczyński;Opoczno;Generała Kazimierza Bończy-Załęskiego ;1A;26-300;044 755 00 82;;044 755 00 82;;pinbopoczno@op.pl;;www.pinbopoczno.lo.pl;51.3760;20.2881
519.;Powiatowy Inspektorat Nadzoru Budowlanego w  Pabianicach;łódzkie;Pabianicki;Pabianice;Partyzancka;56;95-200;042 215-47-77;;042 215-60-26;;nadzor@pinb-pabianice.pl;;www.pinb-pabianice.pl;51.6698;19.3559
520.;Powiatowy Inspektorat Nadzoru Budowlanego w  Pajęcznie;łódzkie;Pajęczański;Pajęczno;Sienkiewicza;5;98-330;034-311-32-27;;034-311-32-27;;pinbpajeczno@wp.pl;;http://www.bip.pinbpajeczno.lo.pl/;51.1494;18.9889
521.;Powiatowy Inspektorat Nadzoru Budowlanego w  Piotrkowie Trybunalskim;łódzkie;Piotrków Trybunalski;Piotrków Tryb.;Sienkiewicza;16A;97-300;44/7327833;;44/732-78-33;;pinb.piotrkow@esc.org.pl;;;51.4106;19.6361
522.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Piotrków Trybunalski;łódzkie;Piotrków Trybunalski m.w.;Piotrków Tryb.;Krakowskie Przedmieście;73;97-300;(44)742 12 34;;(44)742 12 34;;pinb.m.piotrkow@poczta.onet.pl;;http://www.bip.pinbpiotrkow.wikom.pl/;51.3829;19.6957
523.;Powiatowy Inspektorat Nadzoru Budowlanego w  Poddębicach;łódzkie;Poddębice;Poddębice;Łęczycka;16;99-200;043-678-78-54;043-678-78-55;043-678-78-55;;pinbpod@wp.pl;pinb@poddebicki.pl;www.pinb.poddebicki.pl;51.8948;18.9658
524.;Powiatowy Inspektorat Nadzoru Budowlanego w  Radomsku;łódzkie;Radomszczański;Radomsko;Leszka Czarnego;22;97-500;044-685-8969;044-685-8970;044-683-4335;;pinb@radomszczanski.pl;;pinb-radomszczanski.lo.pl;51.0594;19.4485
525.;Powiatowy Inspektorat Nadzoru Budowlanego w  Rawie Mazowieckiej;łódzkie;Rawa Mazowiecka;Rawa Mazowiecka;Kościuszki;5;96-200;046-814-6070;;046-814-6070;;pinb@powiatrawski.pl;;www.pinbrawa.pl;51.7636;20.2502
526.;Powiatowy Inspektorat Nadzoru Budowlanego w  Sieradzu;łódzkie;Sieradzki;Sieradz;Plac Wojewódzki;3;98-200;043-822-3199;;043-822-3199;;pinbsieradz@wp.pl;;www.bip.pinbsieradz.lo.pl;51.5936;18.7325
527.;Powiatowy Inspektorat Nadzoru Budowlanego dla  miasta Skierniewice;łódzkie;miasto Skierniewice;Skierniewice;Jagiellońska;29;96-100;046-833-3914;;046-833-3914;;nadzor@skierniewice.pinb.gov.pl;;skierniewice.pinb.gov.pl;51.5733;20.8412
528.;Powiatowy Inspektorat Nadzoru Budowlanego w  Skierniewicach;łódzkie;Skierniewicki;Skierniewice;Konstytucji 3 Maja;6;96-100;46-834-5963;;46-834-5963;;skierniewice@pinb.pl;;skierniewice.pinb.pl;51.9603;20.1446
529.;Powiatowy Inspektorat Nadzoru Budowlanego w  Tomaszowie Mazowieckim;łódzkie;tomaszowski;Tomaszów Mazowiecki;Św. Antoniego;41;97-200;044-725-08-37;;044-725-08-37;;pinb@powiat-tomaszowski.pl;;www.pinbtomaszow.lo.pl;51.5279;20.01415
530.;Powiatowy Inspektorat Nadzoru Budowlanego w  Wieluniu;łódzkie;Wieluński;Wieluń;ul. Andrzeja Struga;1;98-300;438 427 914;;438427914;;pinb_wielun@interia.pl;;http://pinb.wielun.pl/;51.1300;18.3420
531.;Powiatowy Inspektorat Nadzoru Budowlanego w  Wieruszowie;łódzkie;Wieruszowski;Wieruszów;Ludwika Waryńskiego;8;98-400;062-78-31-994;;062-78-31-994;;pinb56@o2.pl;;http://www.bip-pinb.powiat-wieruszowski.pl/;51.2953;18.1565
532.;Powiatowy Inspektorat Nadzoru Budowlanego w  Zduńskiej Woli;łódzkie;Zduńska Wola;Zduńska Wola;Łaska;61a;98-220;043 823-41-39;;043 823 41-39;;pinb@zdwola.com.pl;;www.pinb.zdwola.com.pl;51.5971;18.9438
533.;Powiatowy Inspektorat Nadzoru Budowlanego w  Zgierzu;łódzkie;Zgierski;Zgierz;Sadowa;6a;95-100;042-719-08-14;042-719-05-59;042-719-08-14;;pinb@powiat.zgierz.pl;;www.pinb.powiat.zgierz.pl;51.8400;19.4235
534.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Bełchatowie;łódzkie;bełchatowski;Bełchatów;Okrzei;49;97-400;44 631-31-08;44 631-31-18;44 631-32-84;;belchatow@pis.lodz.pl;;www.gov.pl/web/psse-belchatow;51.3605;19.3768
535.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Brzezinach;łódzkie;brzeziński;Brzeziny;Reformacka;3;95-060;46 874-33-30;46 874-31-60;46 874-33-30;;psse.brzeziny@pis.gov.pl;;www.gov.pl/web/psse-brzeziny;51.7987;19.7540
536.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Kutnie;łódzkie;kutnowski;Kutno;Kościuszki;14;99-300;24 355-71-00;24 355-71-02;24 355-71-01;;psse.kutno@pis.gov.pl;;www.gov.pl/web/psse-kutno;52.2327;19.3644
537.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Łasku;łódzkie;łaski;Łask;Warszawska;38;98-100;43 675-23-15;43 675-22-94;43 676-34-16;;psse.lask@pis.gov.pl;lask@pis.lodz.pl;www.gov.pl/web/psse-lask;51. 5901;19.1471
538.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Łęczycy;łódzkie;łęczycki;Łęczyca;Mickiewicza;18;99-100;24 721-21-88;;24 721-88-09;;leczyca@pis.lodz.pl;;www.gov.pl/web/psse-leczyca;52.0487;19.2151
539.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Łowiczu;łódzkie;łowicki;Łowicz;Podrzeczna;24;99-400;46 837-64-94;46 837-35-00;46 830-32-61;;psse.lowicz@pis.gov.pl;;www.gov.pl/web/psse-lowicz;52.1080;19.9374
540.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Łodzi;łódzkie;łódzki;Łódź;Przybyszewskiego;10;93-189;42 253-99-02, 03;42 253-99-00;42 253-99-01;;psse@psselodz.pl;;www.gov.pl/web/psse-lodz;51.7436;19.4657
541.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Opocznie;łódzkie;opoczyński;Opoczno;Pl. Kościuszki;9;26-300;44 755-23-29;;44 755-23-29;;psse.opoczno@pis.gov.pl;opoczno@pis.lodz.pl;www.gov.pl/web/psse-opoczno;51.3763;20.2884
542.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Pabianicach;łódzkie;pabianicki;Pabianice;Kilińskiego;10.gru;95-200;42 215-27-76;42 291-96-32;42 215-27-76;;pabianice@pis.lodz.pl;;www.gov.pl/web/psse-pabianice;51.6600;19.3551
543.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Pajęcznie;łódzkie;pajęczański;Pajęczno;Żeromskiego;7;98-330;34 311-34-95;34 311-10-31;34 311-39-27;;pajeczno@pis.lodz.pl;;www.gov.pl/web/psse-pajeczno;51.1502;18.9886
544.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Piotrkowie Trybunalskim;łódzkie;piotrkowski;Piotrków Trybunalski;Al. 3-go Maja;8;97-300;44 649-50-63;44 647-64-98;44 647-76-26;;psse.piotrkowtryb@pis.gov.pl;;www.gov.pl/web/psse-piotrkow-trybunalski;51.4052;19.6929
545.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Poddębicach;łódzkie;poddębicki;Poddębice;Mickiewicza;16;99-200;43 678-86-00;43 678-86-01;43 678-86-01;;poddebice@pis.lodz.pl;;www.gov.pl/web/psse-poddebice;51.8890;18.9531
546.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Radomsku;łódzkie;radomszczański;Radomsko;Al. Jana Pawła II;9;97-500;44 685-23-50;;44 683-54-36;;psse.radomsko@pis.gov.pl;;www.gov.pl/web/psse-radomsko;51.0692;19.4412
547.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Rawie Mazowieckiej;łódzkie;rawski;Rawa Mazowiecka;Łowicka;15;96-200;46 814-34-95;46 814-48-62;46 814-34-95;;psse.rawamaz@pis.gov.pl;www.pis.lodz.pl/rawa;www.gov.pl/web/psse-rawa-mazowiecka;51.7677;20.2503
548.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Sieradzu;łódzkie;sieradzki;Sieradz;Polskiej Organizacji Wojskowej;52;98-200;43 822-36-85;;43 822-41-23;;sieradz@pis.lodz.pl;;www.gov.pl/web/psse-sieradz;51.5970;18.7209
549.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Skierniewicach;łódzkie;skierniewicki;Skierniewice;Piłsudskiego;33;96-100;46 833-30-21;46 833-46-00;46 833-30-21;;psse.skierniewice@pis.gov.pl;;www.gov.pl/web/psse-skierniewice;51.9568;20.1337
550.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Tomaszowie Mazowieckim;łódzkie;tomaszowski;Tomaszów Mazowiecki;Majowa;sty.13;97-200;44 724-49-35;44 724-45-84, 85;44 724-51-17;;tomaszow@pis.lodz.pl;;www.gov.pl/web/psse-tomaszow-mazowiecki;51.5314;20.0219
551.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Wieluniu;łódzkie;wieluński;Wieluń;POW;14;98-300;43 843-40-70;43 843-39-21;43 843-40-35;;wielun@pis.lodz.pl;;www.pssewielun.pl;51.2187;18.5807
552.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Wieruszowie;łódzkie;wieruszowski;Wieruszów;Warszawska;75;98-400;62 783-19-90;;62 783-19-90;;wieruszow@pis.lodz.pl;;www.gov.pl/web/psse-wieruszow;51.2946;18.1608
553.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Zduńskiej Woli;łódzkie;zduńskowolski;Zduńska Wola;Łaska;13;98-220;43 823-21-99;43 823-41-40, 48, 49;43 823-41-96;43 823-99-37;psse.zdunskawola@pis.gov.pl;zdunskawola@pis.lodz.pl;www.gov.pl/web/psse-zdunska-wola;51.6009;18.9365
554.;Powiatowa Stacja Sanitarno - Epidemiologiczna w Zgierzu;łódzkie;zgierski;Zgierz;A. Struga;23;95-100;42 291-96-17;42 291-96-14;;;zgierz@pis.lodz.pl;;www.gov.pl/web/psse-zgierz;51.8491;19.3984
555.;Powiatowy Inspektorat Weterynarii w Bełchatowie;łódzkie;bełchatowski;Bełchatów;Piłsudskiego;70;97-400;044-635-0953;044-635-0950;044-635-0953;;belchatow.piw@wetgiw.gov.pl;;www.piwet-belchatow.pl;51.3765;19.3805
556.;Powiatowy Inspektorat Weterynarii w Kutnie;łódzkie;kutnowski , łęczycki;Kutno;Sienkiewicza;25;99-300; 024-337-17-00;;024-337-17-01;;sekretariat@piw.kutno.pl;;piw-kutno.bip.org.pl;52.229128;19.354214
557.;Powiatowy Inspektorat Weterynarii w Łasku;łódzkie;łaski, zduńskowolski;Łask;M. Konopnickiej;21;98-100;043-675-2108;;043-675-9113;;piwlask@piw-lask.pl;;www.piw-lask.pl;51.5959;19.1318
558.;Powiatowy Inspektorat Weterynarii w Łodzi;łódzkie;łódzki grodzki, łódzki wschodni, brzeziński;Łódź;Wapienna;15;91-087;042-616-1570;042-616-1571;042-650-0833;;lodz.piw@wetgiw.gov.pl;;www.piw-lodz.pl;51.7746;19.4225
559.;Powiatowy Inspektorat Weterynarii w Łowiczu;łódzkie;łowicki;Łowicz;Starościńska;5a;99-400;046-837-5578;;046-837-5288;;lowicz.piw@wetgiw.gov.pl;;www.piwlowicz.pl;52.1018;19.9297
560.;Powiatowy Inspektorat Weterynarii w Opocznie;łódzkie;opoczyński;Opoczno;Staromiejska;35;26-300;044-755-2314;044-755-2646;044-755-2602;;opoczno.piw@wetgiw.gov.pl;piwetopoczno@poczta.onet.pl;piw.opoczno.pl;51.3810;20.2960
561.;Powiatowy Inspektorat Weterynarii w Pabianicach;łódzkie;pabianicki;Pabianice;Karniszewicka;37;95-200;042-212-1914;502-634-951;042-212-1269;;pabianice.piw@wetgiw.gov.pl;;www.piw-pabianice.pl;51.6710;19.3444
562.;Powiatowy Inspektorat Weterynarii w Piotrkowie Trybunalskim;łódzkie;piotrkowski grodzki, piotrkowski ziemski;Piotrków Trybunalski;Rzemieślnicza;26;97-300;044-646-4404;044 -646 -5371;044-646-5177;;piotrkowtr.miw@wetgiw.gov.pl;miwetpt@poczta.onet.pl;www.piwpiotrkow.pl;51.4112;19.7050
563.;Powiatowy Inspektorat Weterynarii w Poddębicach;łódzkie;poddębicki;Poddębice;Mickiewicza;32;99-200;043-678-9095;043-678-92-31;043-678-9150;;poddebice.piw@wetgiw.gov.pl;;www.piwpoddebice.mojbip.pl;51.8851;18.9559
564.;Powiatowy Inspektorat Weterynarii w Radomsku;łódzkie;radomszczański;Radomsko;Wilsona;21A;97-500;044-682-4424;044-685-03-46;044-682-4424 wew.33;;radomsko.piw@wetgiw.gov.pl;;www.piwradomsko.pl;51.0706;19.4568
565.;Powiatowy Inspektorat Weterynarii w Rawie Mazowieckiej;łódzkie;rawski;Rawa Mazowiecka;Mszczonowska;10;96-200;046-814-4353;046-814-27-02;046-814-4353;;rawamaz.piw@wetgiw.gov.pl;;www.e-bip.org.pl/piwrawamaz/;51.7718;20.2629
566.;Powiatowy Inspektorat Weterynarii w Sieradzu;łódzkie;sieradzki, wieruszowski;Sieradz;Warneńczyka;1;98-200;043-822-3004;043-822-5662;043-822-3004;;sieradz.piw@wetgiw.gov.pl;;www.piw-sieradz.pl;51.5737;18.7178
567.;Powiatowy Inspektorat Weterynarii w Skierniewicach;łódzkie;skierniewicki, miasto Skierniewice;Skierniewice;Miedniewicka;25;96-100;046-833-3268;;046-832-2625;;skierniewice.miw@wetgiw.gov.pl;;piwskierniewice.pl;51.9557;20.1598
568.;Powiatowy Inspektorat Weterynarii w Tomaszowie Mazowieckim;łódzkie;tomaszowski;Tomaszów Mazowiecki;Orzeszkowej;15/19;97-200;044-723-6237;044-723-6455;044-723-6237;;iw.biuro@piwtomaszowmaz.pl;;www.piwtomaszowmaz.pl;51.5408;19.9984
569.;Powiatowy Inspektorat Weterynarii w Wieluniu;łódzkie;wieluński, pajęczański;Wieluń;Kolejowa;63;98-300;043-843-3649;;043-843-3884;;wielun.piw@wetgiw.gov.pl;;www.piw.wielun.pl;51.2362;18.5474
570.;Powiatowy Inspektorat Weterynarii w Zgierzu;łódzkie;zgierski;Zgierz;Andrzeja Struga;23;95-100;042-714-0367;042-714-0364;042-714-0341;;zgierz.piw@wetgiw.gov.pl;;bip.piwzgierz.pl;51.8492;19.3986
571.;Małopolski Urząd Wojewódzki w Krakowie;małopolskie;;Kraków;ul. Basztowa;22;31-156;12 39 21 200;12 39 21 527;12 422 72 08;;urzad@malopolska.uw.gov.pl;;www.malopolska.uw.gov.pl;50.0653;19.9435
572.;Komenda Wojewódzka PSP w Krakowie;małopolskie;;Kraków;ul. Zarzecze;106;30-134 ;47 83 59 000;12 371 30 00 ;47 835 90 09;;dziennikpodawczy@straz.krakow.pl;;https://www.gov.pl/kwpsp-krakow;50.0756;19.8873
573.;Komenda Wojewódzka Policji w Krakowie ;małopolskie;;Kraków;ul. Mogilska;109;31-571;47 83 54 444;;47 83 54 012;;poczta@malopolska.policja.gov.pl;;http://malopolska.policja.gov.pl;50.0680;19.9802
574.;Kuratorium Oświaty w Krakowie;małopolskie;;Kraków;ul. Ujastek;1;31-752;12 448 11 10;;12 448 11 62;;kurator@kuratorium.krakow.pl;;http://kuratorium.krakow.pl/;50.0783;20.0673
575.;Wojewódzki Inspektorat Farmaceutyczny w Krakowie;małopolskie;;Kraków;Pl. Szczepański;5;31-011;12 422 75 41;12 422 75 43;12 422 75 52;;sekretariat@wif.malopolska.pl;mwif@wif.malopolska.pl;www.wif.malopolska.pl;50.0642;19.9356
576.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie;małopolskie;;Kraków;ul.Kołowa;3;30-134;12 623 28 00;;12 430 49 64;;wi-krakow@piorin.gov.pl;;www.piorin.gov.pl;50.0718;19.8987
577.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Kraków;małopolskie;;Kraków;ul. Lea;116/p.67;30-133;12 265 10 72;12 637 11 84;12 265 10 72;;o-krakow@piorin.gov.pl;;www.piorin.gov.pl;50.0722;19.9014
578.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Bochnia;małopolskie;bocheński;Bochnia;ul. Konstytucji 3 Maja ;5;32-700;14 612 34 77;;14 612 34 77;;o-bochnia@piorin.gov.pl;;www.piorin.gov.pl;49.973;20.4278
579.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Dąbrowa Tarnowska;małopolskie;dąbrowski;Dąbrowa Tarnowska ;ul. M.J. Piłsudskiego 33;14;33-200;14 642 28 86;;14 642 43 75;;o-dabrawa-tarn@piorin.gov.pl;;www.piorin.gov.pl;50.1692;20.9843
580.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Gorlice;małopolskie;gorlicki;Gorlice;Ropica Polska;325;38-300;18 352 77 17;;18 352 77 17;;o-gorlice@piorin.gov.pl;;www.piorin.gov.pl;49.6432;21.1477
581.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Limanowa;małopolskie;limanowski;Limanowa;ul. Matki Boskiej Bolesnej ;87;34-600;18 337 11 91;;18 337 11 91;;o-limanowa@piorin.gov.pl;;www.piorin.gov.pl;49.7017;20.4399
582.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Miechów;małopolskie;miechowski;Miechów;ul. Konopnickiej;23a;32-200;41 383 16 60;;41 383 22 05;;o-miechow@piorin.gov.pl;;www.piorin.gov.pl;50.36;20.0417
583.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Myślenice;małopolskie;myślenicki;Myślenice;ul. Jordana;4;32-400;12 272 08 15;;12 272 08 15;;o-myslenice@piorin.gov.pl;;www.piorin.gov.pl;49.8358;19.938
584.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Nowy Sącz;małopolskie;nowosądecki;Nowy Sącz;ul. Głowackiego ;33;33-300;18 441 27 65;;18 441 24 58;;o-nowy-sacz@piorin.gov.pl;;www.piorin.gov.pl;49.6351;20.6936
585.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Olkusz;małopolskie;olkuski;Olkusz;al.1000-lecia;13A;32-300;32 754 65 03;;32 754 65 03;;o-olkusz@piorin.gov.pl;;www.piorin.gov.pl;50.2693;19.5693
586.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Oświęcim;małopolskie;oświęcimski;Oświęcim;ul. Piłsudskiego ;10;32-600;33 842 56 14;;33 842 56 14;;o-oswiecim@piorin.gov.pl;;www.piorin.gov.pl;50.0395;19.2272
587.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Proszowice;małopolskie;proszowicki;Proszowice;ul. Kopernika ;6;32-100;12 386 17 93;;12 386 28 08;;o-proszowice@piorin.gov.pl;;www.piorin.gov.pl;50.1888;20.2972
588.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Sucha Beskidzka ;małopolskie;suski;Sucha Beskidzka;ul. Kościelna ;5b;34-200;33 874 27 49;;33 874 27 49;;o-sucha-beskidzka@piorin.gov.pl;;www.piorin.gov.pl;49.738763;19.603158
589.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Tarnów;małopolskie;tarnowski;Tarnów;ul. Solidarności;5;33-100;14 626 46 81;;14 652 52 87;;o-tarnow@piorin.gov.pl;;www.piorin.gov.pl;50.0164;20.9843
590.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie/oddział Zakopane;małopolskie;tatrzański;Zakopane;ul. Sienkiewicza;34;34-500;18 266 69 87;;18 266 69 87;;o-zakopane@piorin.gov.pl;;www.piorin.gov.pl;49.2931;19.9632
591.;Wojewódzki Inspektorat Nadzoru Budowlanego w Krakowie;małopolskie;;Kraków;ul. Łobzowska;67;30-038;12 410 73 00;;12 411 12 46;;info@krakow.winb,gov.pl;;https://bip.malopolska.pl/winbkrakow;50.0715;19.9278
592.;Wojewódzka Inspekcja Geodezyjna i Kartograficzna w Krakowie;małopolskie;;Kraków;ul. Basztowa;22;31-156;12 39 21 631;;12 39 21 891;;ig@malopolska.uw.gov.pl;;http://www.malopolska.uw.gov.pl/default.aspx?page=IG;50.0653;19.9435
593.;Wojewódzki Inspektorat Ochrony Środowiska w Krakowie ;małopolskie;;Kraków;Pl. Szczepański;5;31-011;12 422 48 95;;12 422 36 12;;wiosinfo@krakow.pios.gov.pl;;www.krakow.pios.gov.pl;50.0642;19.9356
594.;Wojewódzki Inspektorat Inspekcji Handlowej w Krakowie;małopolskie;;Kraków;ul. Ujastek;7;31-752;12 448 10 30;;12 448 10 60;;sekretariat@krakow.wiih.gov.pl;;www.krakow.wiih.gov.pl;50.0835;20.0659
595.;Wojewódzki Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych w Krakowie;małopolskie;;Kraków;ul. Ujastek;7;31-752;12 448 11 02;;;;wi_krakow@ijhars.gov.pl;;www.wijharskrakow.pl;50.0783;20.0673
596.;Wojewódzki Inspektorat Weterynarii w Krakowie;małopolskie;;Kraków;ul. Brodowicza ;13;30-965;12 293 10 00;;12 293 10 90;;wiw@wiw.krakow.pl;;www.wiw.krakow.pl;50.0713;19.9642
597.;Wojewódzki Urząd Ochrony Zabytków w Krakowie;małopolskie;;Kraków;ul. Kanonicza;24;31-002;12 370 83 11;12 370 83 12;14 621 28 20;;krakow@wuoz.malopolska.pl;;http://wuoz.malopolska.pl/;50.0557;19.9372
598.;Wojewódzki Inspektorat Transportu Drogowego w Krakowie;małopolskie;;Kraków;ul. Bratysławska;5;31-201;12 416 51 20;;12 416 51 30;;sekretariat@krakow.witd.gov.pl;;www.krakow.witd.gov.pl;50.0859;19.9369
599.;Wojewódzka Stacja Sanitarno - Epidemiologiczna w Krakowie ;małopolskie;;Kraków ;ul. Prądnicka ;76;31-202;12 25 49 555;;12 416 20 93 ;;wsse@wsse.krakow.pl;;https://www.gov.pl/web/wsse-krakow;50.0872;19.9381
600.;Komenda Powiatowa PSP w Dąbrowie Tarnowskiej;małopolskie;dąbrowski;Dąbrowa Tarnowska ;ul. Żabieńska ;20;33-200;47 83 14 613;; 47 831 46 09;;kppspdabrowa@straz.krakow.pl;;https://www.gov.pl/kppsp-dabrowa-tarnowska;50.1639;20.9703
601.;Komenda Powiatowa PSP w Myślenicach;małopolskie;myślenicki;Myślenice;ul. Przemysłowa;9;32-400;47 83 17 000;;47 831 70 09;;kppspmyslenice@straz.krakow.pl;;https://www.gov.pl/kppsp-myslenice;49.8315;19.9531
602.;Komenda Powiatowa PSP w Wadowicach;małopolskie;wadowicki;Wadowice;ul. Wojska Polskiego ;2c;34-100;47 83 17 600;33-873-43-84;33 873 43 81;33-873-43-93;kppspwadowice@straz.krakow.pl ;;https://www.gov.pl/kppsp-wadowice;49.8881;19.4924
603.;Komenda Powiatowa PSP w Zakopanem;małopolskie;tatrzański;Zakopane;ul. Nowotarska ;45;34-500;47 83 17 800;;18 20 20 912;;kppspzakopane@straz.krakow.pl;;https://www.gov.pl/kppsp-zakopane;49.3012;19.9552
604.;Komenda Miejska PSP w Krakowie;małopolskie;krakowski;Kraków;ul. Westerplatte;19;31-033;12 616 83 00;;;;sekretariat1@psp.krakow.pl;;https://www.gov.pl/kmpsp-krakow;50.0599;19.9432
605.;Komenda Powiatowa PSP w Wieliczce;małopolskie;wielicki;Wieliczka;ul. Park Kingi ;4;32-020;47 83 17 700;;47 831 77 09;;kppspwieliczka@straz.krakow.pl;;https://www.gov.pl/kppsp-wieliczka;49.9819;20.0521
606.;Komenda Powiatowa PSP w Bochni;małopolskie;bocheński;Bochnia;ul. Ks. J.Poniatowskiego;7;32-700;47 83 14 200;;47 831 42 09;;kppspbochnia@straz.krakow.pl;;https://www.gov.pl/kppsp-bochnia;49.9760;20.4378
607.;Komenda Powiatowa PSP w Limanowej;małopolskie;limanowski;Limanowa;ul. M.Bolesnej ;43;34-600;47 83 14 700;;478 314 709;;kppsplimanowa@straz.krakow.pl;;https://www.gov.pl/kppsp-limanowa;49.7038;20.4316
608.;Komenda Powiatowa PSP w Suchej Beskidzkiej;małopolskie;suski;Sucha Beskidzka;ul. Makowska;26;34-200;47 83 17 500 ;;0-47 831 75 09;;kppspsucha@straz.krakow.pl;;https://www.gov.pl/kppsp-sucha-beskidzka;49.7351;19.619
609.;Komenda Powiatowa PSP w Brzesku;małopolskie;brzeski;Brzesko;ul. Solskiego;16;32-800;"
 47 83 14 400";;;;kppspbrzesko@straz.krakow.pl;;https://www.gov.pl/kppsp-brzesko;49.9740;20.6159
610.;Komenda Powiatowa PSP w Gorlicach;małopolskie;gorlicki;Gorlice;ul. 11 Listopada ;84;38-300;47 83 14 300;;47 83 14 309;;kppspgorlice@straz.krakow.pl;;https://www.gov.pl/kppsp-gorlice;49.6706;21.1662
611.;Komenda Powiatowa PSP w Oświęcimiu;małopolskie;oświęcimski;Oświęcim;ul. Zatorska;2;32-600;47 817 900;;;;kppsposwiecim@straz.krakow.pl;;https://www.gov.pl/kppsp-oswiecim;50.0278;19.2283
612.;Komenda Powiatowa PSP w Miechowie;małopolskie;miechowski;Miechów;ul. Racławicka;20;32-200;47 83 17 100;41 382 41 00;41 382 41 09;;kppspmiechow@straz.krakow.pl;;https://www.gov.pl/kppsp-miechow;50.3563;20.0407
613.;Komenda Powiatowa PSP w Chrzanowie;małopolskie;chrzanowski;Chrzanów;ul. Ks. J. Skorupki;3;32-500;47 83 14 500 ;47 83 14 513;47 83 14 509;47 83 14 519;kppspchrzanow@straz.krakow.pl;pskchrzanow@straz.krakow.pl;https://www.gov.pl/kppsp-chrzanow;50.1460;19.3994
614.;Komenda Miejska PSP w Nowym Sączu;małopolskie;nowosądecki;Nowy Sącz;ul. Witosa ;69;33-300;47 83 14 900;;47 83 14 909;;kppspnowysacz@straz.krakow.pl;;https://www.gov.pl/kmpsp-nowy-sacz;49.6370;20.6993
615.;Komenda Powiatowa PSP w Olkuszu;małopolskie;olkuski;Olkusz;Al. 1000-lecia ;2c;32-300;32 64 14 008;32 641 40 44;32 754 77 21;;kppspolkusz@straz.krakow.pl;;https://www.gov.pl/kppsp-olkusz;50.2699;19.5819
616.;Komenda Powiatowa PSP w Nowym Targu;małopolskie;nowotarski;Nowy Targ;ul. Kościuszki;3;34-400;18 26 10 980;;18 26 109 82;;kppspnowytarg@straz.krakow.pl;;https://www.gov.pl/kppsp-nowy-targ;49.4835;20.0315
617.;Komenda Powiatowa PSP w Proszowicach;małopolskie;proszowicki;Proszowice;ul. 3-go Maja;140;32-100;47 83 17 400 ;;12 385 31 68;;kppspproszowice@straz.krakow.pl ;;https://www.gov.pl/kppsp-proszowice;50.1914;20.3047
